證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
2440,太空梭          ,227000,163000,64000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,62000,
2072,世紀風電        ,122039,61029,61010,0,0,0,0,0,0,0,0,0,0,0,0,0,61010,
5234,達興材料        ,715639,391588,324051,0,0,0,0,286000,-286000,22090,0,17630,-17630,62895,23175,39720,60141,
3535,晶彩科          ,507220,442970,64250,0,0,0,0,0,0,-4855,12000,16855,-4855,0,0,0,59395,
1616,億泰            ,190020,128000,62020,0,0,0,0,0,0,-3000,0,3000,-3000,0,0,0,59020,
6598,ABC-KY          ,84000,24000,60000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,59000,
6491,晶碩            ,110000,52000,58000,0,0,0,0,0,0,307,0,1000,-1000,2342,1035,1307,58307,
6695,芯鼎            ,521040,459068,61972,0,0,0,0,0,0,-3866,4134,8000,-3866,0,0,0,58106,
9908,大台北          ,160000,89000,71000,0,0,0,0,0,0,-13000,0,13000,-13000,0,0,0,58000,
6719,力智            ,289100,245600,43500,0,0,0,0,0,0,14340,0,1000,-1000,18003,2663,15340,57840,
2832,台產            ,77000,23000,54000,0,0,0,0,0,0,2956,5000,2000,3000,1000,1044,-44,56956,
6431,光麗-KY         ,88000,32000,56000,0,0,0,0,0,0,111,111,0,111,0,0,0,56111,
1568,倉佑            ,136057,84000,52057,0,0,0,0,0,0,4000,4000,0,4000,0,0,0,56057,
2616,山隆            ,103000,47016,55984,0,0,0,0,0,0,-906,3000,3906,-906,0,0,0,55078,
2109,華豐            ,80000,25000,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,
3308,聯德            ,78000,21000,57000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,55000,
4590,富田-創         ,79000,25000,54000,0,0,0,0,0,0,382,1000,1000,0,4000,3618,382,54382,
8499,鼎炫-KY         ,125000,76000,49000,0,0,0,0,0,0,5120,4573,2031,2542,2597,19,2578,54120,
5288,豐祥-KY         ,87058,33000,54058,0,0,0,0,0,0,0,0,0,0,0,0,0,54058,
1337,再生-KY         ,227000,173000,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,
3665,貿聯-KY         ,1681984,1285023,396961,0,0,0,197039,398039,-201000,-142836,50000,117031,-67031,166279,242084,-75805,53125,
2460,建通            ,258000,160300,97700,0,0,0,0,0,0,-45000,6000,51000,-45000,0,0,0,52700,
6283,淳安            ,145000,95000,50000,0,0,0,0,0,0,2000,2000,0,2000,0,0,0,52000,
2891C,中信金丙特      ,0,0,0,0,0,0,80000,0,80000,-29000,1000,30000,-29000,0,0,0,51000,
2029,盛餘            ,103000,49000,54000,0,0,0,0,0,0,-4728,4000,8728,-4728,0,0,0,49272,
1436,華友聯          ,132000,81000,51000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,49000,
4536,拓凱            ,86000,34000,52000,0,0,0,0,0,0,-3056,0,2056,-2056,0,1000,-1000,48944,
4137,麗豐-KY         ,84000,34000,50000,0,0,0,0,0,0,-2059,1000,3059,-2059,0,0,0,47941,
3025,星通            ,192000,145000,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,47000,
1810,和成            ,287000,240088,46912,0,0,0,0,0,0,0,7000,7000,0,0,0,0,46912,
2425,承啟            ,578000,544000,34000,0,0,0,0,0,0,10990,11000,10,10990,0,0,0,44990,
4555,氣立            ,86027,47000,39027,0,0,0,0,0,0,5000,5000,0,5000,0,0,0,44027,
8341,日友            ,84115,37000,47115,0,0,0,0,0,0,-3976,24,4000,-3976,0,0,0,43139,
5608,四維航          ,510000,463000,47000,0,0,0,0,0,0,-6000,1000,2000,-1000,0,5000,-5000,41000,
3014,聯陽            ,1912372,1875712,36660,0,0,0,1000,8783,-7783,10872,10409,12353,-1944,16000,3184,12816,39749,
4583,台灣精銳        ,114053,72512,41541,0,0,0,0,0,0,-4343,1000,2000,-1000,4841,8184,-3343,37198,
2015,豐興            ,164000,89000,75000,0,0,0,0,18000,-18000,-21000,0,21000,-21000,0,0,0,36000,
6994,富威電力        ,126000,92000,34000,0,0,0,0,0,0,-123,0,0,0,0,123,-123,33877,
2480,敦陽科          ,135000,94000,41000,0,0,0,0,5708,-5708,-1820,373,2193,-1820,0,0,0,33472,
3010,華立            ,947017,926157,20860,0,0,0,0,55000,-55000,67598,2000,8429,-6429,76688,2661,74027,33458,
4585,達明            ,136100,99000,37100,0,0,0,0,1000,-1000,-2700,0,0,0,1873,4573,-2700,33400,
2912,統一超          ,1052249,965950,86299,0,0,0,0,38000,-38000,-16208,2000,16000,-14000,5000,7208,-2208,32091,
2243,宏旭-KY         ,455081,426000,29081,0,0,0,0,3000,-3000,5000,7000,2000,5000,0,0,0,31081,
4426,利勤            ,47000,13000,34000,0,0,0,0,0,0,-3000,2000,5000,-3000,0,0,0,31000,
6415,矽力*-KY        ,5096029,5377685,-281656,0,0,0,382238,27000,355238,-42959,25000,29000,-4000,96163,135122,-38959,30623,
1713,國化            ,58000,28000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,
1455,集盛            ,224000,189000,35000,0,0,0,0,0,0,-5000,7000,12000,-5000,0,0,0,30000,
6933,AMAX-KY         ,147000,124000,23000,0,0,0,0,0,0,6383,6401,0,6401,145,163,-18,29383,
910861,神州-DR         ,47000,18000,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,
4764,雙鍵            ,77000,55000,22000,0,0,0,0,0,0,6000,4000,1000,3000,10000,7000,3000,28000,
1540,喬福            ,71000,46000,25000,0,0,0,0,0,0,2000,2000,0,2000,0,0,0,27000,
6515,穎崴            ,129304,95289,34015,0,0,0,17000,19076,-2076,-5229,5000,10479,-5479,4637,4387,250,26710,
4119,旭富            ,160000,134000,26000,0,0,0,0,0,0,434,4000,4000,0,3000,2566,434,26434,
1762,中化生          ,208340,184065,24275,0,0,0,0,0,0,1990,6000,4010,1990,0,0,0,26265,
2028,威致            ,57000,32000,25000,0,0,0,0,0,0,1000,2000,1000,1000,0,0,0,26000,
3557,嘉威            ,58000,37000,21000,0,0,0,0,0,0,5000,5000,0,5000,0,0,0,26000,
3588,通嘉            ,176000,149571,26429,0,0,0,0,0,0,-501,0,501,-501,0,0,0,25928,
6835,圓裕            ,189000,164000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,
6861,睿生光電        ,45000,25000,20000,0,0,0,0,0,0,5000,0,0,0,5000,0,5000,25000,
1587,吉茂            ,108000,85000,23000,0,0,0,0,0,0,438,1000,562,438,0,0,0,23438,
1626,艾美特-KY       ,44000,20000,24000,0,0,0,0,0,0,-1000,1000,2000,-1000,0,0,0,23000,
2461,光群雷          ,130000,110000,20000,0,0,0,0,0,0,3000,4000,1000,3000,0,0,0,23000,
2636,台驊控股        ,107000,82000,25000,0,0,0,0,0,0,-3000,0,3000,-3000,0,0,0,22000,
2236,百達-KY         ,175000,153000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,
6277,宏正            ,85000,63000,22000,0,0,0,0,0,0,-1811,1000,3000,-2000,3209,3020,189,20189,
7821,神數            ,51000,30000,21000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,20000,
3150,鈺寶-創         ,29000,17000,12000,0,0,0,0,0,0,7001,1000,0,1000,11001,5000,6001,19001,
2704,國賓            ,83000,65000,18000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,17000,
6796,晉弘            ,31000,14000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,
1463,強盛新          ,32000,15000,17000,0,0,0,0,0,0,-488,1000,1488,-488,0,0,0,16512,
1342,八貫            ,72021,48000,24021,0,0,0,0,0,0,-8000,0,8000,-8000,0,0,0,16021,
6934,心誠鎂          ,42000,26000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,
5203,訊連            ,61000,44000,17000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,16000,
4169,泰宗            ,33000,17000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,
6477,安集            ,180000,162000,18000,0,0,0,0,0,0,-2950,58,3008,-2950,0,0,0,15050,
7791,皇家可口        ,23000,9000,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,
3432,台端            ,52000,38000,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,
2509,全坤建          ,61000,47000,14000,0,0,0,0,0,0,0,1000,1000,0,0,0,0,14000,
2302,麗正            ,24000,22000,2000,0,0,0,0,0,0,11455,11455,0,11455,0,0,0,13455,
910322,康師傅-DR       ,13000,1000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,
9935,慶豐富          ,151000,140000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,
6776,展碁國際        ,85000,74000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,
9918,欣天然          ,35000,24302,10698,0,0,0,0,0,0,0,0,0,0,0,0,0,10698,
2438,翔耀            ,25000,15000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,
4572,駐龍            ,17000,8000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,
5907,大洋-KY         ,41000,29000,12000,0,0,0,0,0,0,-3000,0,3000,-3000,0,0,0,9000,
3504,揚明光          ,268006,257010,10996,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,8996,
3712,永崴投控        ,255110,245015,10095,0,0,0,0,0,0,-1192,5000,6192,-1192,0,0,0,8903,
6928,攸泰科技        ,26007,18000,8007,0,0,0,0,0,0,0,0,0,0,0,0,0,8007,
8476,台境*           ,72000,66000,6000,0,0,0,0,0,0,2000,3000,1000,2000,0,0,0,8000,
1517,利奇            ,26000,17000,9000,0,0,0,0,0,0,-1895,3000,4895,-1895,0,0,0,7105,
2468,華經            ,56000,49000,7000,0,0,0,0,0,0,0,1000,1000,0,0,0,0,7000,
8429,金麗-KY         ,119000,109000,10000,0,0,0,0,0,0,-3000,0,3000,-3000,0,0,0,7000,
1531,高林股          ,29000,31000,-2000,0,0,0,0,0,0,9000,9000,0,9000,0,0,0,7000,
6988,威力暘-創       ,8000,3000,5000,0,0,0,0,0,0,2000,0,6000,-6000,31000,23000,8000,7000,
2887F,台新新光戊特二  ,6661,0,6661,0,0,0,0,0,0,0,0,0,0,0,0,0,6661,
2250,IKKA-KY         ,24000,17000,7000,0,0,0,0,0,0,-617,0,617,-617,0,0,0,6383,
6592,和潤企業        ,303522,283000,20522,0,0,0,0,2000,-2000,-12568,6000,18568,-12568,0,0,0,5954,
3040,遠見            ,36000,28000,8000,0,0,0,0,3000,-3000,0,0,0,0,0,0,0,5000,
4930,燦星網          ,9000,4000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,
3266,昇陽            ,27000,23000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,
6552,易華電          ,50000,42000,8000,0,0,0,0,0,0,-4000,0,4000,-4000,0,0,0,4000,
1512,瑞利            ,11000,5000,6000,0,0,0,0,0,0,-3000,0,3000,-3000,0,0,0,3000,
9944,新麗            ,15000,12000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,
6657,華安            ,61000,58018,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,2982,
3041,揚智            ,521000,518000,3000,0,0,0,0,0,0,-231,2000,2231,-231,0,0,0,2769,
4737,華廣            ,42000,40000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,
5546,永固-KY         ,7000,5000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,
6969,成信實業*-創    ,8000,7000,1000,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,2000,
6225,天瀚            ,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,
1445,大宇            ,21000,12000,9000,0,0,0,0,0,0,-7000,0,7000,-7000,0,0,0,2000,
2748,雲品            ,23000,19000,4000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,2000,
2881C,富邦金丙特      ,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,
3046,建碁            ,73000,91000,-18000,0,0,0,0,0,0,20000,21000,1000,20000,0,0,0,2000,
6957,裕慶-KY         ,14000,11000,3000,0,0,0,0,0,0,-1364,0,1216,-1216,52,200,-148,1636,
3002,歐格            ,69000,67000,2000,0,0,0,0,0,0,-599,1000,1599,-599,0,0,0,1401,
3593,力銘            ,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,
4439,冠星-KY         ,2000,3000,-1000,0,0,0,0,0,0,2000,2000,0,2000,0,0,0,1000,
4440,宜新實業        ,7000,6000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,
6921,嘉雨思-創       ,8000,7000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,
8488,吉源-KY         ,7000,6000,1000,0,0,0,0,0,0,0,1000,1000,0,0,0,0,1000,
2254,巨鎧精密-創     ,16000,14000,2000,0,0,0,0,0,0,-1000,0,0,0,21000,22000,-1000,1000,
